time,tgt_x,tgt_y,msl_x,msl_y,tgt_dx,tgt_dy,msl_dx,msl_dy
0.01,0.25,500.0,0.0,0.2,25.0,1.570795680830879e-05,0.04802343178074636,19.9882
0.02,0.5,500.00000015707957,0.0004802343178074636,0.399882,24.99999999998026,4.712383166709822e-05,0.09590919221413718,19.98130465191323
0.03,0.7499999999998026,500.0000006283179,0.0014393262399488354,0.5996950465191323,24.999999999891436,9.424754706074873e-05,0.14368588441857988,19.979306313136185
0.04,0.999999999998717,500.00000157079336,0.002876185084134634,0.7994881096504942,24.999999999654566,0.00015707898671589178,0.1913818983909891,19.982197259944705
0.05,1.2499999999952627,500.00000314158325,0.004790004068044525,0.9993100822499412,24.999999999161094,0.00023561799560145483,0.23902540672325487,19.98996968285637
0.060000000000000005,1.4999999999868736,500.0000054977632,0.007180258135277074,1.199209779078505,24.99999999827285,0.0003298643799287092,0.28664436030314966,20.002615682067017
0.07,1.749999999969602,500.000008796407,0.01004670173830857,1.3992359358991753,24.99999999682206,0.00043981790715132016,0.33426648401740705,20.020127262960507
0.08,1.9999999999378226,500.000013194586,0.01338936657848264,1.5994372085287805,24.99999999461135,0.0005654783059654,0.381919272474231,20.042496331690536
0.09,2.249999999883936,500.0000188493691,0.01720855930322495,1.7998621718456858,24.999999991413752,0.0007068452663095639,0.4296299857619262,20.06971469083328
0.09999999999999999,2.4999999997980735,500.00002591782174,0.021504859160844214,2.0005593187540187,24.999999986972696,0.0008639184393649878,0.47742564525968384,20.101774035109383
0.10999999999999999,2.7499999996678004,500.00003455700613,0.026279115613441054,2.2015770591051127,24.999999981002016,0.00103669743755547,0.5253330295158173,20.138665947173802
0.11999999999999998,2.9999999994778204,500.0000449239805,0.03153244590859923,2.4029637185768506,24.999999973185965,0.0012251818345474941,0.5733786702079219,20.180381893471825
0.12999999999999998,3.24999999920968,500.0000571757989,0.03726623261067845,2.604767537511569,24.999999963179203,0.0014293711652502965,0.6215888481985439,20.2269132201595
0.13999999999999999,3.499999998841472,500.00007146951054,0.04348212109266389,2.8070366697131637,24.99999995060681,0.0016492649258159353,0.669989589698988,20.2782511490867
0.15,3.74999999834754,500.0000879621598,0.05018201698965377,3.0098191812040307,24.99999993506429,0.0018848625736393623,0.7186066625528801,20.33438677384091
0.16,3.999999997698183,500.00010681078555,0.05736808361518257,3.2131630489424396,24.99999991611758,0.002136163527358498,0.7674655726500397,20.39531105584986
0.17,4.2499999968593585,500.00012817242083,0.06504273934168298,3.4171161595009383,24.999999893303045,0.00240316716685431,0.8165915604801169,20.461014820541052
0.18000000000000002,4.499999995792389,500.0001522040925,0.07320865494648415,3.6217263077063486,24.999999866127485,0.0026858728332508947,0.8660095978343103,20.531488753556303
0.19000000000000003,4.749999994453663,500.00017906282085,0.08186875092482726,3.827041195241912,24.999999834068156,0.002984279828915558,0.9157443846623269,20.606723397019373
0.20000000000000004,4.999999992794345,500.00020890561916,0.09102619477145053,4.033108429212105,24.99999979657276,0.003298387417458906,0.9658203460905734,20.686709145854863
0.21000000000000005,5.249999990760073,500.00024188949334,0.10068439823235627,4.239975520670654,24.999999753059456,0.003628194823734932,1.0162616296063876,20.771436244156583
0.22000000000000006,5.499999988290668,500.00027817144155,0.11084701452842015,4.44768988311222,24.999999702916874,0.003973701233841114,1.0670921024119437,20.860894781603687
0.23000000000000007,5.749999985319836,500.0003179084539,0.12151793555253959,4.656298830928257,24.99999964550411,0.004334905795118504,1.1183353489503056,20.95507468992298
0.24000000000000007,5.999999981774877,500.0003612575118,0.13270128904204265,4.865849577827487,24.999999580150757,0.004711807616151836,1.170014668604949,21.05396573939589
0.25000000000000006,6.249999977576385,500.000408375588,0.14440143572809214,5.076389235221446,24.999999506156875,0.005104405766769624,1.222153073572965,21.15755753540876
0.26000000000000006,6.499999972637954,500.00045941964567,0.1566229664638218,5.2879648105755335,24.999999422793042,0.0055126992780442675,1.2747732869110668,21.265839515045244
0.2700000000000001,6.749999966865884,500.00051454663844,0.16937069933293245,5.500623205725986,24.999999329300337,0.005936687142292165,1.327897740752485,21.3788009437197
0.2800000000000001,6.999999960158887,500.00057391350987,0.1826496767404573,5.7144112151631825,24.999999224890352,0.006376368313073826,1.381548574691836,21.49643091185075
0.2900000000000001,7.249999952407791,500.000637677193,0.19646516248737564,5.92937552428169,24.99999910874521,0.006831741705193986,1.4357476343341113,21.618718331574225
0.3000000000000001,7.499999943495243,500.0007059946101,0.21082263883071675,6.145562707597433,24.99999898001757,0.007302806194701732,1.4905164700030498,21.745651933494976
0.3100000000000001,7.749999933295419,500.000779022672,0.22572780353074726,6.363019226932383,24.999998837830635,0.007789560618890624,1.5458763356033287,21.87722026347719
0.3200000000000001,7.999999921673725,500.0008569182782,0.24118656688678056,6.581791429567154,24.99999868127817,0.008292003776298821,1.601848187630261,22.01341167947306
0.3300000000000001,8.249999908486506,500.00093983831596,0.25720504876308314,6.801925546361884,24.99999850942451,0.008810134426709219,1.6584526843199914,22.1542143483898
0.34000000000000014,8.499999893580751,500.0010279396602,0.27378957560628303,7.023467689845782,24.999998321304567,0.009343951291149583,1.715710184932572,22.299616242995317
0.35000000000000014,8.749999876793797,500.0011213791731,0.29094667745560876,7.246463852275736,24.999998115923844,0.009893453051892692,1.7736407491597534,22.449605138862843
0.36000000000000015,8.999999857953036,500.00122031370364,0.3086830849472063,7.470959903664364,24.99999789225846,0.010458638352456475,1.8322641366488561,22.604168611355252
